id,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
117,8.3,0.26,0.37,1.4,0.076,8,23,0.9974,3.26,0.7,9.6,1
118,10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,1
119,7.2,0.605,0.02,1.9,0.096,10,31,0.995,3.46,0.53,11.8,1
120,8.6,0.635,0.68,1.8,0.403,19,56,0.99632,3.02,1.15,9.3,0
121,8.7,0.69,0,3.2,0.084,13,33,0.9992,3.36,0.45,9.4,0
122,7.1,0.6,0.01,2.3,0.079,24,37,0.99514,3.4,0.61,10.9,1
123,7.2,0.39,0.44,2.6,0.066,22,48,0.99494,3.3,0.84,11.5,1
124,10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,0
125,10,0.69,0.11,1.4,0.084,8,24,0.99578,2.88,0.47,9.7,0
126,5.6,0.85,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9,1
127,7.3,0.67,0.05,3.6,0.107,6,20,0.9972,3.4,0.63,10.1,0
128,10,0.41,0.45,6.2,0.071,6,14,0.99702,3.21,0.49,11.8,1
129,6.7,0.7,0.08,3.75,0.067,8,16,0.99334,3.43,0.52,12.6,0
130,7.2,0.66,0.03,2.3,0.078,16,86,0.99743,3.53,0.57,9.7,0
131,8.2,0.635,0.1,2.1,0.073,25,60,0.99638,3.29,0.75,10.9,1
132,6.6,0.52,0.08,2.4,0.07,13,26,0.99358,3.4,0.72,12.5,1
133,11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,1
134,9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,0
135,7,0.6,0.3,4.5,0.068,20,110,0.99914,3.3,1.17,10.2,0
136,7.1,0.65,0.18,1.8,0.07,13,40,0.997,3.44,0.6,9.1,0
137,10.4,0.43,0.5,2.3,0.068,13,19,0.996,3.1,0.87,11.4,1
138,4.7,0.6,0.17,2.3,0.058,17,106,0.9932,3.85,0.6,12.9,1
139,5.2,0.48,0.04,1.6,0.054,19,106,0.9927,3.54,0.62,12.2,1
140,7.3,0.365,0.49,2.5,0.088,39,106,0.9966,3.36,0.78,11,0
141,6.9,0.54,0.3,2.2,0.088,9,105,0.99725,3.25,1.18,10.5,1
142,9,0.47,0.31,2.7,0.084,24,125,0.9984,3.31,0.61,9.4,0
143,5.9,0.44,0,1.6,0.042,3,11,0.9944,3.48,0.85,11.7,1
144,6.5,0.39,0.23,8.3,0.051,28,91,0.9952,3.44,0.55,12.1,1
145,7.5,0.755,0,1.9,0.084,6,12,0.99672,3.34,0.49,9.7,0
146,8,0.67,0.3,2,0.06,38,62,0.9958,3.26,0.56,10.2,1
147,7.5,0.61,0.26,1.9,0.073,24,88,0.99612,3.3,0.53,9.8,0
148,7.2,0.37,0.32,2,0.062,15,28,0.9947,3.23,0.73,11.3,1
149,8.8,0.33,0.41,5.9,0.073,7,13,0.99658,3.3,0.62,12.1,1
150,7.5,0.77,0.2,8.1,0.098,30,92,0.99892,3.2,0.58,9.2,0
151,7.8,0.44,0.28,2.7,0.1,18,95,0.9966,3.22,0.67,9.4,0
152,8.3,0.615,0.22,2.6,0.087,6,19,0.9982,3.26,0.61,9.3,0
153,7.2,0.53,0.13,2,0.058,18,22,0.99573,3.21,0.68,9.9,1
154,11.6,0.23,0.57,1.8,0.074,3,8,0.9981,3.14,0.7,9.9,1
155,10.4,0.64,0.24,2.8,0.105,29,53,0.9998,3.24,0.67,9.9,0
156,8.4,0.62,0.09,2.2,0.084,11,108,0.9964,3.15,0.66,9.8,0
157,7.6,0.49,0.33,1.9,0.074,27,85,0.99706,3.41,0.58,9,0
158,7.6,0.74,0,1.9,0.1,6,12,0.99521,3.36,0.59,11,0
159,8.2,0.23,0.42,1.9,0.069,9,17,0.99376,3.21,0.54,12.3,1
160,7.1,0.52,0.03,2.6,0.076,21,92,0.99745,3.5,0.6,9.8,0
161,6.6,0.5,0.01,1.5,0.06,17,26,0.9952,3.4,0.58,9.8,1
162,7.7,0.75,0.27,3.8,0.11,34,89,0.99664,3.24,0.45,9.3,0
163,8,0.42,0.17,2,0.073,6,18,0.9972,3.29,0.61,9.2,1
164,8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,1
165,6.8,0.41,0.31,8.8,0.084,26,45,0.99824,3.38,0.64,10.1,1
166,9.1,0.37,0.32,2.1,0.064,4,15,0.99576,3.3,0.8,11.2,1
167,6,0.51,0,2.1,0.064,40,54,0.995,3.54,0.93,10.7,1
168,7.8,0.645,0,2,0.082,8,16,0.9964,3.38,0.59,9.8,1
169,7.5,0.38,0.57,2.3,0.106,5,12,0.99605,3.36,0.55,11.4,1
170,7,0.49,0.49,5.6,0.06,26,121,0.9974,3.34,0.76,10.5,0
171,9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,0
172,7.1,0.69,0.04,2.1,0.068,19,27,0.99712,3.44,0.67,9.8,0
173,6.4,0.47,0.4,2.4,0.071,8,19,0.9963,3.56,0.73,10.6,1
174,7.4,0.785,0.19,5.2,0.094,19,98,0.99713,3.16,0.52,9.566666667,1
175,7.6,0.43,0.29,2.1,0.075,19,66,0.99718,3.4,0.64,9.5,0
176,11.9,0.57,0.5,2.6,0.082,6,32,1.0006,3.12,0.78,10.7,1
177,7,0.69,0.08,1.8,0.097,22,89,0.9959,3.34,0.54,9.2,1
178,9,0.4,0.43,2.4,0.068,29,46,0.9943,3.2,0.6,12.2,1
179,8.2,0.59,0,2.5,0.093,19,58,1.0002,3.5,0.65,9.3,1
180,10.7,0.4,0.37,1.9,0.081,17,29,0.99674,3.12,0.65,11.2,1
181,6.8,0.56,0.22,1.8,0.074,15,24,0.99438,3.4,0.82,11.2,1
182,6.7,0.76,0.02,1.8,0.078,6,12,0.996,3.55,0.63,9.95,0
183,8.2,0.39,0.49,2.3,0.099,47,133,0.9979,3.38,0.99,9.8,0
184,7.5,0.42,0.32,2.7,0.067,7,25,0.99628,3.24,0.44,10.4,0
185,8.6,0.315,0.4,2.2,0.079,3,6,0.99512,3.27,0.67,11.9,1
186,10.5,0.39,0.46,2.2,0.075,14,27,0.99598,3.06,0.84,11.4,1
187,8.2,0.4,0.31,1.9,0.082,8,24,0.996,3.24,0.69,10.6,1
188,9.5,0.735,0.1,2.1,0.079,6,31,0.9986,3.23,0.56,10.1,1
189,9.8,0.88,0.25,2.5,0.104,35,155,1.001,3.41,0.67,11.2,0
190,8,0.59,0.16,1.8,0.065,3,16,0.9962,3.42,0.92,10.5,1
191,6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,0
192,7.2,0.62,0.06,2.7,0.077,15,85,0.99746,3.51,0.54,9.5,0
193,6.8,0.65,0.02,2.1,0.078,8,15,0.99498,3.35,0.62,10.4,1
194,6.7,0.855,0.02,1.9,0.064,29,38,0.99472,3.3,0.56,10.75,1
195,8.5,0.44,0.5,1.9,0.369,15,38,0.99634,3.01,1.1,9.4,0
196,9.8,1.24,0.34,2,0.079,32,151,0.998,3.15,0.53,9.5,0
197,8.1,0.73,0,2.5,0.081,12,24,0.99798,3.38,0.46,9.6,0
198,5.9,0.61,0.08,2.1,0.071,16,24,0.99376,3.56,0.77,11.1,1
199,10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,1
200,11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,1
201,7.3,0.305,0.39,1.2,0.059,7,11,0.99331,3.29,0.52,11.5,1
202,8,0.77,0.32,2.1,0.079,16,74,0.99656,3.27,0.5,9.8,1
203,8.9,0.62,0.19,3.9,0.17,51,148,0.9986,3.17,0.93,9.2,0
204,15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,0
205,11.6,0.53,0.66,3.65,0.121,6,14,0.9978,3.05,0.74,11.5,1
206,7,0.62,0.1,1.4,0.071,27,63,0.996,3.28,0.61,9.2,0
207,9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,0
208,10.4,0.24,0.49,1.8,0.075,6,20,0.9977,3.18,1.06,11,1
209,7.6,0.42,0.08,2.7,0.084,15,48,0.9968,3.21,0.59,10,0
210,7.5,0.55,0.24,2,0.078,10,28,0.9983,3.45,0.78,9.5,1
211,7.2,0.39,0.32,1.8,0.065,34,60,0.99714,3.46,0.78,9.9,0
212,8.2,0.915,0.27,2.1,0.088,7,23,0.9962,3.26,0.47,10,0
213,5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,0
214,7,0.43,0.36,1.6,0.089,14,37,0.99615,3.34,0.56,9.2,1
215,9.8,0.45,0.38,2.5,0.081,34,66,0.99726,3.15,0.58,9.8,0
216,7.9,1.04,0.05,2.2,0.084,13,29,0.9959,3.22,0.55,9.9,1
217,7,0.65,0.02,2.1,0.066,8,25,0.9972,3.47,0.67,9.5,1
218,9,0.6,0.29,2,0.069,32,73,0.99654,3.34,0.57,10,0
219,8.1,0.78,0.1,3.3,0.09,4,13,0.99855,3.36,0.49,9.5,0
220,9,0.46,0.23,2.8,0.092,28,104,0.9983,3.1,0.56,9.2,0
221,7.1,0.31,0.3,2.2,0.053,36,127,0.9965,2.94,1.62,9.5,0
222,9.2,0.755,0.18,2.2,0.148,10,103,0.9969,2.87,1.36,10.2,1
223,8.2,0.24,0.34,5.1,0.062,8,22,0.9974,3.22,0.94,10.9,1
224,9,0.36,0.52,2.1,0.111,5,10,0.99568,3.31,0.62,11.3,1
225,8.3,0.42,0.38,2.5,0.094,24,60,0.9979,3.31,0.7,10.8,1
226,7.2,0.37,0.32,2,0.062,15,28,0.9947,3.23,0.73,11.3,1
227,5.6,0.5,0.09,2.3,0.049,17,99,0.9937,3.63,0.63,13,0
228,9.6,0.5,0.36,2.8,0.116,26,55,0.99722,3.18,0.68,10.9,0
229,8,0.18,0.37,0.9,0.049,36,109,0.99007,2.89,0.44,12.7,1
230,12.2,0.48,0.54,2.6,0.085,19,64,1,3.1,0.61,10.5,1
231,6.5,0.53,0.06,2,0.063,29,44,0.99489,3.38,0.83,10.3,1
232,11.3,0.36,0.66,2.4,0.123,3,8,0.99642,3.2,0.53,11.9,1
233,7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6,1
234,9.5,0.86,0.26,1.9,0.079,13,28,0.99712,3.25,0.62,10,0
235,9.9,0.32,0.56,2,0.073,3,8,0.99534,3.15,0.73,11.4,1
236,7.8,0.53,0.01,1.6,0.077,3,19,0.995,3.16,0.46,9.8,0
237,8.2,0.33,0.32,2.8,0.067,4,12,0.99473,3.3,0.76,12.8,1
238,7.4,0.68,0.16,1.8,0.078,12,39,0.9977,3.5,0.7,9.9,1
239,6.9,0.74,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5,1
240,7.1,0.43,0.42,5.5,0.071,28,128,0.9973,3.42,0.71,10.5,0
241,9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,0
242,6.1,0.4,0.16,1.8,0.069,11,25,0.9955,3.42,0.74,10.1,1
243,6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,1
244,15.9,0.36,0.65,7.5,0.096,22,71,0.9976,2.98,0.84,14.9,0
245,7.9,0.6,0.06,1.6,0.069,15,59,0.9964,3.3,0.46,9.4,0
246,10.3,0.59,0.42,2.8,0.09,35,73,0.999,3.28,0.7,9.5,1
247,6.4,0.4,0.23,1.6,0.066,5,12,0.9958,3.34,0.56,9.2,0
248,7.7,0.18,0.34,2.7,0.066,15,58,0.9947,3.37,0.78,11.8,1
249,8.8,0.48,0.41,3.3,0.092,26,52,0.9982,3.31,0.53,10.5,1
250,6.6,0.58,0.02,2.4,0.069,19,40,0.99387,3.38,0.66,12.6,1
251,7.2,0.36,0.46,2.1,0.074,24,44,0.99534,3.4,0.85,11,1
252,6.7,0.48,0.08,2.1,0.064,18,34,0.99552,3.33,0.64,9.7,0
253,8.9,0.75,0.14,2.5,0.086,9,30,0.99824,3.34,0.64,10.5,0
254,8.6,0.37,0.65,6.4,0.08,3,8,0.99817,3.27,0.58,11,0
255,7.8,0.545,0.12,2.5,0.068,11,35,0.996,3.34,0.61,11.6,1
256,9,0.54,0.49,2.9,0.094,41,110,0.9982,3.08,0.61,9.2,0
257,7.6,0.43,0.31,2.1,0.069,13,74,0.9958,3.26,0.54,9.9,1
258,7.8,0.58,0.13,2.1,0.102,17,36,0.9944,3.24,0.53,11.2,1
259,7.8,0.53,0.33,2.4,0.08,24,144,0.99655,3.3,0.6,9.5,0
260,6.8,0.59,0.06,6,0.06,11,18,0.9962,3.41,0.59,10.8,1
261,9.9,0.54,0.26,2,0.111,7,60,0.99709,2.94,0.98,10.2,0
262,7.9,0.765,0,2,0.084,9,22,0.99619,3.33,0.68,10.9,1
263,6.3,1.02,0,2,0.083,17,24,0.99437,3.59,0.55,11.2,0
264,9.8,0.51,0.19,3.2,0.081,8,30,0.9984,3.23,0.58,10.5,1
265,9.5,0.55,0.66,2.3,0.387,12,37,0.9982,3.17,0.67,9.6,0
266,13.3,0.34,0.52,3.2,0.094,17,53,1.0014,3.05,0.81,9.5,1
267,7.8,0.57,0.31,1.8,0.069,26,120,0.99625,3.29,0.53,9.3,0
268,12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,0
269,7.7,0.69,0.49,1.8,0.115,20,112,0.9968,3.21,0.71,9.3,0
270,9.9,0.35,0.38,1.5,0.058,31,47,0.99676,3.26,0.82,10.6,1
271,6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,1
272,8.5,0.21,0.52,1.9,0.09,9,23,0.99648,3.36,0.67,10.4,0
273,8.9,0.32,0.31,2,0.088,12,19,0.9957,3.17,0.55,10.4,1
274,7.4,0.59,0.08,4.4,0.086,6,29,0.9974,3.38,0.5,9,0
275,8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,0
276,10.8,0.4,0.41,2.2,0.084,7,17,0.9984,3.08,0.67,9.3,1
277,9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,0
278,6.6,0.58,0.02,2,0.062,37,53,0.99374,3.35,0.76,11.6,1
279,8.4,0.31,0.29,3.1,0.194,14,26,0.99536,3.22,0.78,12,1
280,7.4,0.52,0.13,2.4,0.078,34,61,0.99528,3.43,0.59,10.8,1
281,10,0.29,0.4,2.9,0.098,10,26,1.0006,3.48,0.91,9.7,0
282,7.4,0.36,0.34,1.8,0.075,18,38,0.9933,3.38,0.88,13.6,1
283,7.1,0.66,0,2.4,0.052,6,11,0.99318,3.35,0.66,12.7,1
284,9.3,0.775,0.27,2.8,0.078,24,56,0.9984,3.31,0.67,10.6,1
285,6.1,0.58,0.23,2.5,0.044,16,70,0.99352,3.46,0.65,12.5,1
286,6.8,0.56,0.22,1.8,0.074,15,24,0.99438,3.4,0.82,11.2,1
287,11.4,0.36,0.69,2.1,0.09,6,21,1,3.17,0.62,9.2,1
288,7.3,0.91,0.1,1.8,0.074,20,56,0.99672,3.35,0.56,9.2,0
289,8.1,0.785,0.52,2,0.122,37,153,0.9969,3.21,0.69,9.3,0
290,11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,1
291,8.3,1.02,0.02,3.4,0.084,6,11,0.99892,3.48,0.49,11,0
292,7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,0
293,8.8,0.3,0.38,2.3,0.06,19,72,0.99543,3.39,0.72,11.8,1
294,7.6,0.42,0.25,3.9,0.104,28,90,0.99784,3.15,0.57,9.1,0
295,6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,0
296,9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7,1
297,8.1,0.33,0.44,1.5,0.042,6,12,0.99542,3.35,0.61,10.7,0
298,8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,1
299,5.3,0.47,0.11,2.2,0.048,16,89,0.99182,3.54,0.88,13.6,1
300,7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,1
301,8.3,0.26,0.37,1.4,0.076,8,23,0.9974,3.26,0.7,9.6,1
302,10.5,0.24,0.47,2.1,0.066,6,24,0.9978,3.15,0.9,11,1
303,10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,1
304,7.7,0.57,0.21,1.5,0.069,4,9,0.99458,3.16,0.54,9.8,1
305,7.8,0.7,0.06,1.9,0.079,20,35,0.99628,3.4,0.69,10.9,0
306,9.9,0.5,0.24,2.3,0.103,6,14,0.9978,3.34,0.52,10,0
307,6.9,0.605,0.12,10.7,0.073,40,83,0.9993,3.45,0.52,9.4,1
308,8.4,0.36,0.32,2.2,0.081,32,79,0.9964,3.3,0.72,11,1
309,9.4,0.41,0.48,4.6,0.072,10,20,0.9973,3.34,0.79,12.2,1
310,10.5,0.51,0.64,2.4,0.107,6,15,0.9973,3.09,0.66,11.8,1
311,8.3,0.66,0.15,1.9,0.079,17,42,0.9972,3.31,0.54,9.6,1
312,8.8,0.59,0.18,2.9,0.089,12,74,0.99738,3.14,0.54,9.4,0
313,7.2,0.38,0.38,2.8,0.068,23,42,0.99356,3.34,0.72,12.9,1
314,9.8,0.5,0.34,2.3,0.094,10,45,0.99864,3.24,0.6,9.7,1
